k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	fallout	acc
22	0,1	true	1,00	253	3865	244	1261	0,2516	0,1671	0,0594	0,5091	0,1671	0,4909	0,7323
22	0,2	false	0,07	5	4106	3	1509	0,0066	0,0033	0,0007	0,6250	0,0033	0,3750	0,7311
22	0,2	true	1,00	244	3859	250	1270	0,2430	0,1612	0,0608	0,4939	0,1612	0,5061	0,7297
22	0,3	false	0,13	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
22	0,3	true	1,00	217	3919	190	1297	0,2259	0,1433	0,0462	0,5332	0,1433	0,4668	0,7356
22	0,4	false	0,22	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
22	0,4	true	1,00	228	3923	186	1286	0,2365	0,1506	0,0453	0,5507	0,1506	0,4493	0,7382
22	0,7	false	0,30	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
22	0,7	true	1,00	191	3941	168	1323	0,2040	0,1262	0,0409	0,5320	0,1262	0,4680	0,7348
22	0,8	false	0,17	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
22	0,8	true	1,00	209	3915	194	1305	0,2180	0,1380	0,0472	0,5186	0,1380	0,4814	0,7334
22	0,9	false	0,17	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
22	0,9	true	1,00	200	3916	193	1314	0,2098	0,1321	0,0470	0,5089	0,1321	0,4911	0,7320
23	0,1	false	0,06	8	4106	3	1506	0,0105	0,0053	0,0007	0,7273	0,0053	0,2727	0,7316
23	0,1	true	1,00	237	3829	280	1277	0,2334	0,1565	0,0681	0,4584	0,1565	0,5416	0,7231
23	0,2	false	0,07	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
23	0,2	true	1,00	249	3866	243	1265	0,2483	0,1645	0,0591	0,5061	0,1645	0,4939	0,7318
23	0,3	false	0,09	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
23	0,3	true	1,00	211	3916	193	1303	0,2200	0,1394	0,0470	0,5223	0,1394	0,4777	0,7339
23	0,4	false	0,14	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
23	0,4	true	1,00	220	3914	195	1294	0,2281	0,1453	0,0475	0,5301	0,1453	0,4699	0,7352
23	0,7	false	0,17	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
23	0,7	true	1,00	197	3923	186	1317	0,2077	0,1301	0,0453	0,5144	0,1301	0,4856	0,7327
23	0,8	false	0,14	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
23	0,8	true	1,00	201	3932	177	1313	0,2125	0,1328	0,0431	0,5317	0,1328	0,4683	0,7350
23	0,9	false	0,14	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
23	0,9	true	1,00	203	3910	199	1311	0,2119	0,1341	0,0484	0,5050	0,1341	0,4950	0,7315
24	0,1	false	0,06	4	4107	2	1510	0,0053	0,0026	0,0005	0,6667	0,0026	0,3333	0,7311
24	0,1	true	1,00	295	3869	240	1219	0,2879	0,1948	0,0584	0,5514	0,1948	0,4486	0,7405
24	0,2	false	0,07	10	4101	8	1504	0,0131	0,0066	0,0019	0,5556	0,0066	0,4444	0,7311
24	0,2	true	1,00	248	3850	259	1266	0,2454	0,1638	0,0630	0,4892	0,1638	0,5108	0,7288
24	0,3	false	0,14	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
24	0,3	true	1,00	225	3903	206	1289	0,2314	0,1486	0,0501	0,5220	0,1486	0,4780	0,7341
24	0,4	false	0,15	2	4108	1	1512	0,0026	0,0013	0,0002	0,6667	0,0013	0,3333	0,7309
24	0,4	true	1,00	221	3931	178	1293	0,2311	0,1460	0,0433	0,5539	0,1460	0,4461	0,7384
24	0,7	false	0,15	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
24	0,7	true	1,00	192	3922	187	1322	0,2029	0,1268	0,0455	0,5066	0,1268	0,4934	0,7316
24	0,8	false	0,20	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
24	0,8	true	1,00	195	3934	175	1319	0,2070	0,1288	0,0426	0,5270	0,1288	0,4730	0,7343
24	0,9	false	0,13	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
24	0,9	true	1,00	202	3935	174	1312	0,2138	0,1334	0,0423	0,5372	0,1334	0,4628	0,7357
