k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	fallcout	acc
62	0,9	false	0,50	398	29012	198	23652	0,0323	0,0165	0,0068	0,6678	0,0165	0,3322	0,5522
62	0,9	true	1,00	15003	18949	10261	9047	0,6085	0,6238	0,3513	0,5938	0,6238	0,4062	0,6375
63	0,1	false	0,04	24	29190	20	24026	0,0020	0,0010	0,0007	0,5455	0,0010	0,4545	0,5485
63	0,1	true	1,00	13874	19106	10104	10176	0,5777	0,5769	0,3459	0,5786	0,5769	0,4214	0,6192
63	0,2	false	0,06	5	29198	12	24045	0,0004	0,0002	0,0004	0,2941	0,0002	0,7059	0,5483
63	0,2	true	1,00	11537	20753	8457	12513	0,5239	0,4797	0,2895	0,5770	0,4797	0,4230	0,6063
63	0,3	false	0,07	10	29210	0	24040	0,0008	0,0004	0,0000	1,0000	0,0004	0,0000	0,5486
63	0,3	true	1,00	10689	21510	7700	13361	0,5037	0,4444	0,2636	0,5813	0,4444	0,4187	0,6046
63	0,4	false	0,15	3	29209	1	24047	0,0002	0,0001	0,0000	0,7500	0,0001	0,2500	0,5485
63	0,4	true	1,00	10445	22067	7143	13605	0,5017	0,4343	0,2445	0,5939	0,4343	0,4061	0,6104
63	0,7	false	0,50	57	29173	37	23993	0,0047	0,0024	0,0013	0,6064	0,0024	0,3936	0,5488
63	0,7	true	1,00	12791	20263	8947	11259	0,5587	0,5319	0,3063	0,5884	0,5319	0,4116	0,6206
63	0,8	false	0,50	322	29079	131	23728	0,0263	0,0134	0,0045	0,7108	0,0134	0,2892	0,5520
63	0,8	true	1,00	14349	19119	10091	9701	0,5918	0,5966	0,3455	0,5871	0,5966	0,4129	0,6284
63	0,9	false	0,50	361	29018	192	23689	0,0293	0,0150	0,0066	0,6528	0,0150	0,3472	0,5516
63	0,9	true	1,00	15177	18421	10789	8873	0,6069	0,6311	0,3694	0,5845	0,6311	0,4155	0,6308
64	0,1	false	0,04	55	29189	21	23995	0,0046	0,0023	0,0007	0,7237	0,0023	0,2763	0,5491
64	0,1	true	1,00	13611	19369	9841	10439	0,5731	0,5659	0,3369	0,5804	0,5659	0,4196	0,6192
64	0,2	false	0,04	34	29188	22	24016	0,0028	0,0014	0,0008	0,6071	0,0014	0,3929	0,5487
64	0,2	true	1,00	11691	21084	8126	12359	0,5330	0,4861	0,2782	0,5899	0,4861	0,4101	0,6154
64	0,3	false	0,10	17	29210	0	24033	0,0014	0,0007	0,0000	1,0000	0,0007	0,0000	0,5488
64	0,3	true	1,00	11350	20993	8217	12700	0,5204	0,4719	0,2813	0,5801	0,4719	0,4199	0,6073
