,soft_id,geneOntology,uniprot,ensemble human,entrez gene,ncbi,GSM433776,GSM433777,GSM433778,GSM433779,GSM433780,GSM433781,GSM433782,GSM433783,GSM433784
2827772,2827772,GO:0008270,Q8TE59,ENSG00000145808,171019,,8.588686275,8.519694555,8.505513686,8.511241482,8.532183491,8.481142502,8.525722951,8.602247477,8.58096778
2908052,2908052,GO:0046983,Q96HT3,ENSG00000171453,9533,,9.297430027,9.598847618,9.760016452,9.48454881,9.423489887,10.11966671,9.845621649,9.715407168,9.520682937
3851230,3851230,GO:0008270,C9JN71,ENSG00000232371,729747,,8.542452263,8.354811776,8.475223437,8.405213282,8.514745713,8.438795278,8.529878743,8.554555245,8.57331492
3708858,3708858,GO:0005886,P34810,ENSG00000129226,968,,10.8633681,8.881704267,10.12289417,9.643838028,11.72998796,11.07320735,10.93453548,9.771845374,10.93974984
3130872,3130872,GO:0016787,Q9BV47,ENSG00000133878,78986,,8.775064266,8.634982277,8.683493048,8.633094006,8.730700544,8.591621412,8.615482366,8.843139362,8.683999476
3985305,3985305,GO:0005488,Q96D09,ENSG00000125962,114928,,8.447409044,8.421269098,8.477435526,8.478167979,8.515854287,8.438111105,8.438729045,8.433481274,8.402626064
3777886,3777886,GO:0007264,Q6IQ22,ENSG00000206418,201475,,8.990149333,8.964566144,9.219920339,9.015094956,9.054128485,8.872045067,9.144557116,9.187375333,9.03419966
3782616,3782616,GO:0008233,B4DDD2,ENSG00000228716,143471,,8.49979298,8.478118346,8.488803168,8.47456462,8.50614145,8.63840299,8.488463888,8.518402714,8.465925929
3608787,3608787,GO:0005886,Q9UIG8,ENSG00000176463,28232,,9.012117088,9.163802901,8.858666486,8.980144198,8.815343812,8.685591478,8.66535522,9.12335165,8.891048487
2761842,2761842,GO:0005886,D6RIF3,ENSG00000007062,8842,,8.55119697,8.327587318,8.380270938,8.336951874,8.362354416,8.343414003,8.392445831,8.375590864,9.033177636
2454818,2454818,GO:0046983,Q9NR55,ENSG00000123685,55509,,9.387594296,9.434639934,9.223195995,9.446739922,9.269596706,9.247381121,9.320076236,9.405158736,9.418876243
3482888,3482888,GO:0008270,B7ZBK4,ENSG00000122034,2971,,9.669881913,9.691122954,9.472734463,9.244662161,9.967842865,9.136876464,9.585097787,9.259874981,9.113956725
2435251,2435251,GO:0005515,Q6UY18,ENSG00000213171,339398,,8.966501755,8.668041183,8.626349385,8.830403308,8.756919186,8.658111654,8.735657865,9.18383722,8.870759502
3686339,3686339,GO:0008565,D3DWF9,ENSG00000169180,23214,,10.37717266,10.13858883,10.23020489,10.17768444,10.01173195,10.45265462,10.23590919,10.3105275,9.878651172
3403841,3403841,GO:0005524,Q9ULI2,ENSG00000166532,57494,,8.77633664,8.99279108,9.353994814,9.033151249,9.123015465,8.97783549,9.272383893,9.111599756,8.941433725
3657041,3657041,GO:0007229,P20702,ENSG00000140678,3687,,8.773736952,8.675743984,9.023999973,8.637542491,9.153365086,8.758603652,9.324988614,8.866506967,9.510649493
3061538,3061538,GO:0043005,Q659U6,ENSG00000004948,799,,8.456289986,8.358454556,8.34787328,8.372014673,8.407971385,8.332403341,8.3865422,8.485917238,8.390762517
2516834,2516834,GO:0007275,P28358,ENSG00000128710,3236,,8.523134778,8.419419534,8.337199393,8.930064136,8.588103838,8.734394882,8.473183393,8.717307737,8.553344419
2634091,2634091,GO:0005634,Q969Y0,ENSG00000144815,91775,,8.874572241,9.324953878,9.561417196,8.841702926,8.949498759,10.27366785,9.830830063,9.208589959,10.34199231
2561216,2561216,GO:0005488,Q6UW15,ENSG00000143954,130120,,8.578197146,8.389489158,8.462457339,8.46112456,8.516215085,8.490218136,8.433752883,8.50630855,8.424966894
2810764,2810764,GO:0005886,D6RBK7,ENSG00000175857,202309,,8.338538092,8.348748412,8.272296176,8.282247556,8.308201663,8.291876233,8.274273493,8.321115282,8.276022286
3901239,3901239,GO:0030414,Q9H112,ENSG00000125831,140880,,8.345036194,8.303209531,8.30858012,8.342617007,8.432933699,8.378609068,8.324331785,8.447797709,8.38897414
2423907,2423907,GO:0030335,Q86WH4,ENSG00000117525,2152,,8.555656242,8.462023663,8.562820141,9.081151172,8.523037478,8.564594466,8.633520549,8.73177902,8.557299268
2379974,2379974,GO:0005244,B4DGU6,ENSG00000082482,3776,,8.443361318,8.566949297,8.327065758,8.392309954,8.371909685,8.36185866,8.364651535,8.469917755,8.387275592
2692573,2692573,,C9JU82,ENSG00000175455,64770,,8.988507786,9.578653127,9.388157115,9.541272006,9.341876157,9.502568161,9.45162139,9.015533475,9.342612667
2693620,2693620,GO:0016829,Q68CJ7,ENSG00000159650,131669,,8.826900471,8.645180371,8.637778942,8.678208646,8.711054711,8.632853792,8.634817917,8.828433361,8.745227261
2362860,2362860,GO:0005244,Q92806,ENSG00000162728,3765,,8.895454542,8.678445833,8.600957097,8.69286661,8.804463504,8.67710549,8.685852364,8.937519658,8.830725731
2443335,2443335,GO:0005542,O60779,ENSG00000117479,10560,,10.6285332,9.757723064,9.783111447,8.73357893,10.00327101,10.39803033,9.899518825,8.904954653,10.09206576
3708306,3708306,GO:0045717,B3KPA6,ENSG00000072778,37,,9.79331962,9.867235843,10.61743417,10.46225425,10.62313668,10.64951111,11.54924143,10.79557618,10.91310279
2360647,2360647,GO:0005886,P52797,ENSG00000143590,1944,,9.068489487,9.115570614,8.97552964,9.037459148,8.946337864,9.07986495,9.0362459,9.125725926,9.042730787
2620448,2620448,GO:0005488,P05452,ENSG00000163815,7123,,9.356002154,9.187057972,9.151604073,9.132981305,9.195842109,9.090118236,9.078844167,9.378709072,9.253331466
2902707,2902707,GO:0006986,P08107,ENSG00000212866,3303,,8.743508605,8.800501919,10.8620568,11.02152495,10.34702547,11.12950094,9.95230366,9.286326078,8.913626655
3318166,3318166,GO:0007608,Q8NGF3,ENSG00000197428,390038,,8.487611293,8.345964062,8.380790656,8.383056916,8.335380949,8.329378786,8.372543616,8.640148823,8.455394452
3303530,3303530,GO:0005747,O95169,ENSG00000166136,4714,,10.56907994,9.975312717,9.831052625,10.38995162,10.13776573,10.23558816,10.41406969,9.870085099,10.54523317
3000984,3000984,GO:0017111,Q86UQ4,ENSG00000179869,154664,,8.636307764,8.442312296,8.403727343,8.41231438,8.417390409,8.393684905,8.407482115,8.511218193,8.439620399
2835848,2835848,GO:0005886,Q86YK4,ENSG00000123643,206358,,9.097619065,9.145522977,8.696287326,8.730658363,8.951714965,9.023672471,8.728416925,8.83059944,8.786571756
3204261,3204261,GO:0008009,Q5VZ77,ENSG00000187186,10850,,8.740387908,8.746161032,8.73175054,8.727453521,8.839321158,8.823354702,8.791816594,8.915832616,8.774123981
2364016,2364016,GO:0005515,A1L170,ENSG00000198929,9722,,9.25856704,9.197459537,9.074981418,9.049117673,9.063059281,8.972309623,9.191225674,9.727619084,9.292154641
