GNAI2,ADCY1
GNAI2,ADORA1
GNAI2,ADRA2A
GNAI2,ADRA2B
GNAI2,AGTR2
GNAI2,BLR1
GNAI2,C5AR1
CAV1,GNAI2
GNAI2,CCR5
GNAI2,CHRM1
GNAI2,CNR1
GNAI2,DRD2
GNAI2,EDNRA
EGFR,GNAI2
GNAI2,EYA1
GNAI2,EYA2
GNAI2,F2R
GNAI2,FPR1
GNAI3,AGTR2
GNAI3,CCR5
GNAI3,CD48
GNAI3,CD59
GNAI3,CNR1
GNAI3,DRD2
GNAI3,EDG1
GNAI3,EDG2
GNAO1,ADORA1
GNAO1,ADRA2A
GNAO1,ADRA2C
GNAO1,BLR1
GNAO1,CACNA1B
GNAO1,CCR5
GNAO1,CRHR1
GNAO1,GNAI1
GNAQ,ADRA1B
GNAQ,ADRBK1
GNAQ,BDKRB1
BLR1,GNAQ
BTK,GNAQ
CCR5,GNAQ
GNAQ,CHRM3
GNAQ,CRHR1
EDG3,GNAQ
ADCY2,GNAS
ADCY5,GNAS
ADCY6,GNAS
ADORA1,GNAS
ADRB3,GNAS
AVPR2,GNAS
CAV3,GNAS
CRHR1,GNAS
GNAS,GCGR
F2R,GNAT1
GNAZ,ADORA1
GNAZ,DRD2
GNAZ,DRD5
GNAZ,EYA1
GNAZ,EYA2
GNB1,CACNA1A
GNB1,CACNA1B
GNB1,CACNA1C
GNB1,GNA12
GNB1,GNAS
CAPNS1,GNB2
GNB1,GNG3
GNG3,GNB2
GNG3,GNB3
GNB1,GNG4
GNG4,GNB2
GNG4,GNB3
GNB1,GNG5
GNG5,GNB2
GNG5,GNB3
GNB1,GNG7
GNG7,GNB2
GNG7,GNB3
GNB1,GNG10
GNB2,GNG10
GNB3,GNG10
GNB1,GNG11
GNB2,GNG11
GNG11,GNB3
GNGT1,GNAS
GNB1,GNGT1
GNGT1,GNB2
GNGT1,GNB3
GNRH1,GNRHR
ARL1,GOLGA1
CDC2,GOLGA2
CASP2,GOLGA3
CASP3,GOLGA3
CASP7,GOLGA3
GOLGA4,ARL1
ARL3,GOLGA4
GOLGB1,CAV2
GLUD1,GOT2
ABL1,SFN
SFN,BAD
SFN,BAX
SFN,CDC2
SFN,CDC25B
SFN,EGFR
CTSG,GP1BA
F11,GP1BA
F12,GP1BA
F2,GP1BA
FLNA,GP1BA
FLNB,GP1BA
GP1BA,GP1BB
F2,GP5
GP1BA,GP5
GP1BA,GP9
GP1BB,GP9
GP5,GP9
APP,GPC1
ALDOA,GPD2
AMFR,GPI
CSNK2A1,GPI
ALPP,GPLD1
APOA1,GPLD1
GPLD1,APOA4
CD55,GPLD1
GPLD1,GM2A
CDC6,PPP2R3B
PPP2R1A,PPP2R3B
GNAI1,GPR1
CCR10,CCR7
IL10RB,IL28A
IL28RA,IL28A
IL10RB,IL28B
IL28RA,IL28B
IL10RB,IL29
IL28RA,IL29
BRCA1,GPR3
BLOC1S1,BLOC1S2
BLOC1S2,CNO
DTNBP1,BLOC1S2
BLOC1S2,MUTED
PLDN,BLOC1S2
SNAPAP,BLOC1S2
ACTC1,ANG
ACTN2,ANG
P4HB,P4HA3
SLC2A4,P4HA3
ACVR1,FLJ33790
TGFBR1,FLJ33790
PBX2,CCDC88
EWSR1,MGC34821
ARR3,RCOR2
MAP2K1,KSR2
KSR2,MAP2K1IP1
MAPK1,KSR2
MAPK3,KSR2
RAF1,KSR2
CCNK,KCNRG
KCNRG,DGCR6L
KCNRG,DKFZp761E198
FXR2,KCNRG
SMURF1,TSSK4
TSSK4,SMURF2
TGFBR1,TSSK4
SLC2A4,FAM98B
ACTL6A,CCDC95
CCDC95,ACTR5
CCDC95,ACTR8
CCDC95,ERVK6
CCDC95,FLJ20309
CCDC95,INOC1
MCRS1,CCDC95
RUVBL1,CCDC95
RUVBL2,CCDC95
CCDC95,ZNHIT4
CBS,C17orf28
KIAA1446,C17orf28
RAD51,C17orf28
RBBP8,C17orf28
RCN3,C17orf28
TSEN2,TSEN54
ADPRHL2,HEXDC
C7orf25,HEXDC
EEF1D,HEXDC
GDPD2,HEXDC
MGC7036,HEXDC
PARK2,HEXDC
PSD,HEXDC
TUBB3,HEXDC
TUBB4,HEXDC
TXNL2,HEXDC
CALCOCO2,KIAA1267
CCDC85B,KIAA1267
KIAA1267,CEP70
KIAA1267,EFCBP2
KRT15,KIAA1267
PSME3,KIAA1267
RP4-691N24.1,KIAA1267
SMAD3,KIAA1267
TRAF2,KIAA1267
USHBP1,KIAA1267
VCL,KIAA1267
ACVR1,NEK8
TGFBR1,NEK8
SLC2A4,GSDM1
YWHAG,TMEM102
SLC2A4,PTRF
TTF1,PTRF
PTRF,ZNF148
PRPSAP2,FLJ35220
FLJ35220,TH1L
ACHE,LAMA1
APCS,LAMA1
APP,LAMA1
C3,LAMA1
COL7A1,LAMA1
DAG1,LAMA1
FBLN2,LAMA1
HSPG2,LAMA1
LAMA1,ITGA1
LAMA1,ITGA2
ITGB1,LAMA1
LAMA1,MEP1A
LAMA1,NID1
LAMA1,NT5E
PLAT,LAMA1
PLG,LAMA1
LAMA1,SAA1
LAMA1,SAA2
TMPRSS6,LAMA1
DEK,ZIK1
C10orf30,LOC284352
ZMYND19,LOC284352
E2F4,MGC45922
MAPK9,WDR62
RALY,WDR62
RIF1,WDR62
TBP,WDR62
PLSCR1,MGC39821
BCL6,GPR23
CCDC85B,C1orf111
ANGPT1,ANGPT2
DISC1,FLJ39502
NFKBIA,NKIRAS2
NFKBIB,NKIRAS2
ACVR1,NKIRAS1
BMPR1B,NKIRAS1
NFKBIA,NKIRAS1
NFKBIB,NKIRAS1
TGFBR1,NKIRAS1
CDH6,CDH19
AKAP4,FSIP2
ADAM10,DLL1
MAGI1,DLL1
DLL1,MFNG
NOTCH1,DLL1
DLL1,NOTCH2
DLL1,NOTCH3
DLL1,NOTCH4
DLL1,NOV
DLL1,POFUT1
PSEN1,DLL1
EFNA1,EPHA6
EFNA3,EPHA6
EFNA4,EPHA6
EFNA5,EPHA6
LGALS13,ZCSL2
ZCSL2,SERGEF
HOMER3,FRYL
YWHAB,FRYL
YWHAG,FRYL
PLOD3,NY-REN-7
SETDB1,TRBV21-1
CTNNA1,NSMCE2
MDFI,ZNF707
GHRHR,MLNR
CLIC1,C9orf75
CCDC85B,MGC42630
KRTAP4-12,MGC42630
MDFI,MGC42630
B2M,TRBC1
HLA-A,TRBC1
TRBC1,TRA@
GNAI1,FFAR1
GNAQ,FFAR1
ATXN1,UBE2E4P
RNF5,UBE2E4P
GABPB2,MAGEB18
LNX1,MAGEB18
TNIP1,MAGEB18
TP53,MAGEB18
TRIM37,MAGEB18
GNAO1,FFAR2
GNAQ,FFAR2
BDKRB2,GRK4
CALM1,GRK4
FSHR,GRK4
RB1,LIN9
RBL1,LIN9
RBL2,LIN9
ESR1,TRIM59
ESR2,TRIM59
ADRB2,GRK5
AGTR1,GRK5
GRK5,AVPR1A
GRK5,AVPR1B
AVPR2,GRK5
BDKRB2,GRK5
CAV1,GRK5
CHRM2,GRK5
GRK6,ADRB2
GRK6,BDKRB2
GRK6,CHRM3
EDNRA,GRK6
EDNRB,GRK6
FSHR,GRK6
GRK6,LTB4R
BMPR1B,MKNK2
EIF4E,MKNK2
ESR1,MKNK2
ESR2,MKNK2
MAPK14,MKNK2
GFER,GPS1
ATF4,GPS2
CHD3,GPS2
EP300,GPS2
GOLGA2,GPS2
CAPN1,GPT
ABL1,GPX1
ABL2,GPX1
ABL1,GRB2
GRB2,ACTC1
GRB2,ACTG1
GRB2,ACTG2
GRB2,ACTN1
GRB2,ACTN4
GRB2,ADA
GRB2,ADRB1
GRB2,ADRB2
GRB2,ALOX5
GRB2,ANXA2
GRB2,ANXA6
GRB2,AP2A1
GRB2,AP2B1
GRB2,AP2M1
GRB2,AP2S1
GRB2,APP
GRB2,ATP5A1
GRB2,AXL
GRB2,BCL2A1
GRB2,BCR
GRB2,CALD1
GRB2,CAMK2D
GRB2,CAPZB
GRB2,CBL
GRB2,CBLB
GRB2,CBR1
GRB2,CD19
GRB2,CD22
GRB2,CD247
GRB2,CD28
GRB2,CD59
GRB2,CD72
GRB2,CDKN1B
GRB2,CFL1
GRB2,CFL2
GRB2,CHRM4
GRB2,CHRND
GRB2,CRK
GRB2,CRKL
GRB2,CSF1R
GRB2,CSF3R
GRB2,CTTN
GRB2,DAB2
GRB2,DAG1
GRB2,DAPK3
GRB2,DBN1
DCTN1,GRB2
GRB2,DDX5
GRB2,DDX6
GRB2,DHX9
GRB2,DLD
GRB2,DLST
GRB2,DNM1
GRB2,DRD3
GRB2,DRD4
GRB2,DST
GRB2,DTX1
GRB2,DUT
GRB2,EEF1A1
EEF1G,GRB2
GRB2,EEF2
GRB2,EGF
GRB2,EGFR
GRB2,EIF4A1
GRB2,ELK1
GRB2,EPHA2
GRB2,EPHB1
GRB2,EPHB2
GRB2,EPHB6
GRB2,EPOR
GRB2,ERBB2
GRB2,ERBB3
GRB2,ESR1
FASLG,GRB2
GRB2,FGFR1
GRB2,FGFR3
GRB2,FLII
GRB2,FLNA
GRB2,FLNB
GRB2,FLT1
GRB2,FLT3
GRB2,FLT4
GRB2,GAB1
GRB2,GHR
GRB2,GMFB
GRB2,MAPK14
GRB2,MS4A2
GRB2,PTK2B
GRB2,SERPINH1
GRB2,SLC25A6
GRB2,XRCC6
CALM1,GRB7
CAV1,GRB7
EGFR,GRB7
ERBB2,GRB7
ERBB3,GRB7
GRB2,GRB7
AKT1,GRB10
BCR,GRB10
DOK1,GRB10
EGFR,GRB10
ELK1,GRB10
EPHB1,GRB10
FYN,GRB10
GHR,GRB10
DAPK3,GRB14
EGFR,GRB14
FGFR1,GRB14
CRK,RAPGEF1
CRKL,RAPGEF1
GRB2,RAPGEF1
GRIA1,CAMK2G
CANX,GRIA1
CASP8,GRIA1
DLG1,GRIA1
GRIA1,EPB41L1
GRIA1,EPB41L2
F8,IGKV3-20
GRIA2,GRIA3
GRIA4,CAMK2A
GRIA4,CAMK2G
GRIA4,EPB41L1
GRIA1,GRIA4
EML1,GRID1
EML1,GRID2
GRIA1,GRID2
CPNE1,CCDC22
SLC2A4,CCDC22
CACNB1,REM1
REM1,CACNB2
CACNB4,REM1
YWHAB,REM1
YWHAE,REM1
YWHAH,REM1
YWHAQ,REM1
YWHAZ,REM1
TBCD,DEXI
MAP2K1IP1,MAPBPIP
MAPBPIP,PITRM1
SLC2A4,MAPBPIP
ATN1,GRN
CCNT1,GRN
CDK9,GRN
ELA2,GRN
RGS17,OSTM1
RGS19,OSTM1
RGS20,OSTM1
ADRBK1,GIT1
ADRBK2,GIT1
GIT1,ARHGEF6
ARHGEF7,GIT1
BARD1,GIT1
BGLAP,GIT1
CAST,GIT1
CHD3,GIT1
GIT1,GIT2
GRK5,GIT1
GRK6,GIT1
HAP1,GIT1
HBXIP,GIT1
HD,GIT1
HMOX2,GIT1
ITGB3BP,GIT1
ITGB4BP,GIT1
GIT1,KIF1A
GIT1,MAN2A2
GIT1,PAK3
PCLO,GIT1
PFDN1,GIT1
PLCG1,GIT1
PMF1,GIT1
PPFIA1,GIT1
PPFIA2,GIT1
PPFIA3,GIT1
PPFIA4,GIT1
PTK2,GIT1
GIT1,PTPRZ1
PXN,GIT1
RAN,GIT1
RGS2,GIT1
SDCCAG3,GIT1
SLC6A4,GIT1
SRC,GIT1
TERF1,GIT1
TGFB1I1,GIT1
TXNDC9,GIT1
YWHAG,GIT1
CHD3,SLC27A6
GNB2L1,SLC27A6
SH3GL3,SNX24
DLG4,GRIK1
FLNA,GRIK1
TRIP13,C11orf54
EWSR1,MRPS18B
SLC2A4,ACAD9
EEF1A1,MRPL42
IKBKAP,MRPL42
CDH2,GRIK2
CTNNB1,GRIK2
CTNND1,GRIK2
DLG1,GRIK2
DLG3,GRIK2
DLG4,GRIK2
GRIA1,GRIK2
GRID2,GRIK2
CDC2,RGC32
KPNA2,MAGEH1
NGFR,MAGEH1
TADA3L,MAGEH1
UPF2,NOB1
MAP4K1,DBNL
SYK,DBNL
ZAP70,DBNL
KIAA1008,C9orf32
FLNA,GRIK3
BAT1,HIPK2
CREBBP,HIPK2
DAXX,HIPK2
DDX39,HIPK2
HIPK2,HMGA1
MAP3K7,HIPK2
MYB,HIPK2
NKX2-5,HIPK2
NKX3-1,HIPK2
HIPK2,PTCH1
RANBP9,HIPK2
SKI,HIPK2
SMAD1,HIPK2
SMAD2,HIPK2
SP100,HIPK2
SUMO1,HIPK2
TITF1,HIPK2
TP53,HIPK2
TP73,HIPK2
TP73L,HIPK2
TRADD,HIPK2
UBE2I,HIPK2
GRIK2,GRIK4
DLG4,GRIK5
GRID2,GRIK5
GRIK2,GRIK5
GRIK3,GRIK5
GRIN1,ACTN2
GRIN1,CALM1
GRIN1,CAMK2A
CANX,GRIN1
CDH2,GRIN1
CLTC,GRIN1
CTNNB1,GRIN1
GRIN1,DLG2
GRIN1,DLG3
GRIN1,DLG4
GRIN1,DNM1
GRIN1,DRD1
GRIN1,DUSP4
EPHB2,GRIN1
GRIN1,EPHB4
GRIN1,FUS
ACTN1,GRIN2A
GRIN2A,CAMK2A
GRIN2A,CAMK2B
CDK5,GRIN2A
GRIN2A,DLG1
GRIN2A,DLG2
GRIN2A,DLG3
GRIN2A,DLG4
FYN,GRIN2A
GRIN1,GRIN2A
PTK2B,GRIN2A
GRIN2B,ACTN2
GRIN2B,CAMK2A
GRIN2B,CAMK2B
GRIN2B,CAPN1
GRIN2B,DLG2
GRIN2B,DLG3
GRIN2B,DLG4
EPHB2,GRIN2B
FYN,GRIN2B
GRIN1,GRIN2B
GRIN2C,DLG3
GRIN2C,DLG4
MAGEA11,TMEM29
ARL4D,C20orf30
RPL28,C20orf30
ABL1,GRIN2D
CDH2,GRIN2D
CLTC,GRIN2D
CTNNB1,GRIN2D
GRIN2D,DLG2
GRIN2D,DLG4
GRIN2D,DNM1
GRIN2D,DUSP4
FUS,GRIN2D
GRIN1,GRIN2D
ARIH2,HSPC049
SDCBP,HSPC049
STX8,HSPC049
COL7A1,ZC3H7A
SMAD1,ZBTB44
GIT1,CCDC113
HAP1,CCDC113
IMMT,CCDC113
PFN2,CCDC113
ATXN1,SETD2
CIC,SETD2
HD,SETD2
TGFBR1,SETD2
AP2M1,MED4
CRSP3,MED4
CRSP7,MED4
MCRS1,MED4
MED4,TNFAIP8
NR3C1,ADA
AR,NR3C1
NR3C1,BAG1
NR3C1,CALM1
NR3C1,CALR
NR3C1,CEBPA
CEBPB,NR3C1
NR3C1,CREB1
NR3C1,CREBBP
NR3C1,ETS1
NR3C1,ETS2
NR3C1,FKBP4
NR3C1,NR2F6
SFN,NR3C1
SLC25A4,NR3C1
PDCD6IP,CHMP4A
VPS4A,CHMP4A
ATXN1,PHPT1
BRE,HSPC142
SLC2A4,MRPL15
BCL6,GRLF1
SNAP25,STXBP6
STX1A,STXBP6
STX4,STXBP6
RAN,RANGNRF
RANBP1,RANGNRF
SLC2A4,COMMD9
BCL6,RNASEN
SP1,RNASEN
YWHAG,C16orf80
CHGA,SCG3
NXF1,NXT1
RAN,NXT1
XPO1,NXT1
BAX,PYCARD
CASP1,PYCARD
CASP8,PYCARD
MEFV,PYCARD
PRKAR1A,PYCARD
PYCARD,SRF
ACTA1,FHOD1
ACTG1,FHOD1
EXOSC8,FHOD1
FHOD1,LNPEP
PFN2,FHOD1
PRKCBP1,FHOD1
RAC1,FHOD1
RNF5,FHOD1
GRM1,ADORA1
GRM1,EFNB2
GRM1,GAPDH
TBK1,ATP5A1
CALM3,TBK1
CCT2,TBK1
CCT3,TBK1
CCT4,TBK1
TBK1,CCT5
TBK1,CCT6A
CCT7,TBK1
CCT8,TBK1
CDC37,TBK1
GAPDH,TBK1
HNRPM,TBK1
HSP90AA1,TBK1
HSP90AB1,TBK1
HSPA1B,TBK1
HSPA5,TBK1
HSPA8,TBK1
HSPA9B,TBK1
IKBKB,TBK1
IKBKG,TBK1
IRF3,TBK1
TBK1,IRF5
TBK1,LDHB
TBK1,LGALS3BP
NCK1,TBK1
NFKBIA,TBK1
NONO,TBK1
PICALM,TBK1
RELA,TBK1
RPL11,TBK1
RPL13,TBK1
RPL7,TBK1
TBK1,RPS18
TBK1,RPS5
TBK1,RPS8
RUVBL1,TBK1
RUVBL2,TBK1
SFPQ,TBK1
TANK,TBK1
TBK1,TBKBP1
TCP1,TBK1
TRAF2,TBK1
TUBA2,TBK1
TUBB4,TBK1
SIAHBP1,SAP30BP
SUPT5H,SAP30BP
MYLIP,MTAP
MYLIP,TMEM4
AGR2,BRD7
BARD1,BRD7
BHLHB2,BRD7
BRD7,BRD3
DVL1,BRD7
BRD7,FTH1
HAP1,BRD7
BRD7,HIST1H2AL
BRD7,HIST2H2BE
BRD7,HIST3H3
HNRPUL1,BRD7
LAMA4,BRD7
BRD7,NEFL
PAFAH1B3,BRD7
PSMD11,BRD7
BRD7,PTPN13
RPLP1,BRD7
SERPINB9,BRD7
CTNNB1,CTNNA3
GNA15,GRM2
GNAQ,GRM2
KLRB1,CLEC2D
HDAC3,ANKRD11
HDAC4,ANKRD11
HDAC5,ANKRD11
NCOA1,ANKRD11
NCOA2,ANKRD11
NCOA3,ANKRD11
RAC3,ANKRD11
SRC,ANKRD11
ACTB,LGALS13
ACTG1,LGALS13
ANXA2,LGALS13
AURKB,RACGAP1
RACGAP1,CELSR3
CHN2,RACGAP1
GRB2,RACGAP1
RACGAP1,KIF23
MAP3K10,RACGAP1
MAP3K4,RACGAP1
NRAS,RACGAP1
PRSS23,RACGAP1
RACGAP1,RND2
TUBA1,RACGAP1
TUBG1,RACGAP1
VAV1,RACGAP1
YWHAB,RACGAP1
YWHAG,RACGAP1
HIST1H2AB,UHRF1
UHRF1,HIST1H2BB
HIST1H3A,UHRF1
HIST2H4A,UHRF1
AR,GRM4
FLNA,GRM4
GNA15,GRM4
GNAQ,GRM4
CALM1,GRM5
CALM2,GRM5
CALM3,GRM5
EFNB2,GRM5
FLNA,GRM5
GNAO1,GRM6
GRM7,CALM1
GRM7,CALM2
CALM3,GRM7
FLNA,GRM7
GRM7,GNAQ
FLNA,GRM8
CXCL1,DARC
ENO1,CXCL2
DPP4,GRP
CALR,PDIA3
CANX,PDIA3
GRP,GRPR
AKT1,GSK3A
BCL3,GSK3A
CREM,GSK3A
GSK3B,ACLY
AKT1,GSK3B
GSK3B,AKT2
GSK3B,APC
GSK3B,APP
BCL3,GSK3B
GSK3B,CCND1
GSK3B,CCNE1
GSK3B,CDH1
GSK3B,CDX2
GSK3B,CREB1
GSK3B,CREM
GSK3B,CTNNB1
CTNND1,GSK3B
GSK3B,DSCR1
DVL1,GSK3B
GSK3B,FOXO1A
GSN,ACTA1
GSN,ACTB
GSN,ACTG1
GSN,ACTN4
GSN,APP
GSN,AR
GSN,CASP3
GSN,CASP7
GSN,CASP9
GSN,CSK
GSN,FHIT
GSN,FN1
GRB2,GSN
GSN,PTK2B
GSPT1,BIRC2
BIRC3,GSPT1
BIRC4,GSPT1
ETF1,GSPT1
GRB2,GSTM1
CDK2,GSTM2
GSTM1,GSTM2
GRB2,GSTM3
GSTM2,GSTM3
APLP1,GSTM4
GRB2,GSTP1
BRCA1,MSH6
CREBBP,MSH6
EP300,MSH6
BCL3,GTF2A1
CSNK2A1,GTF2A1
CSNK2A2,GTF2A1
GTF2A2,GTF2A1
BAX,GTF2B
BCL3,GTF2B
GTF2B,CREBBP
DHX9,GTF2B
EP300,GTF2B
ESR1,GTF2B
GTF2B,ESRRA
GTF2B,FOXF2
GTF2B,GTF2A1
GTF2B,NR5A1
AES,GTF2E1
ERCC3,GTF2E1
GTF2E1,GTF2A1
GTF2A2,GTF2E1
GTF2B,GTF2E1
CCNH,GTF2E2
GTF2E2,ERCC3
GTF2E2,ERCC6
GTF2E2,GTF2A1
GTF2B,GTF2E2
GTF2E2,GTF2E1
GTF2E2,KLF5
AR,GTF2F1
GTF2A1,GTF2F1
GTF2B,GTF2F1
GTF2E2,GTF2F1
AHR,GTF2F2
AR,GTF2F2
ARNT,GTF2F2
ATF2,GTF2F2
ATF4,GTF2F2
CEBPG,GTF2F2
CREB1,GTF2F2
FOS,GTF2F2
GTF2B,GTF2F2
GTF2E1,GTF2F2
GTF2E2,GTF2F2
GTF2F2,GTF2F1
KLF5,GTF2F2
AR,GTF2H1
CCNH,GTF2H1
CDK7,GTF2H1
E2F1,GTF2H1
GTF2H1,ERCC2
GTF2H1,ERCC3
GTF2H1,ERCC4
GTF2H1,ERCC5
ESR1,GTF2H1
GTF2H1,GTF2E1
GTF2E2,GTF2H1
CDK7,GTF2H2
ERCC2,GTF2H2
ERCC3,GTF2H2
ERCC8,GTF2H2
GTF2H1,GTF2H2
ERCC2,GTF2H3
ERCC3,GTF2H3
GTF2H1,GTF2H3
GTF2H2,GTF2H3
ERCC2,GTF2H4
ERCC3,GTF2H4
ERCC5,GTF2H4
GTF2E1,GTF2H4
GTF2H1,GTF2H4
GTF2H2,GTF2H4
GTF2H3,GTF2H4
BTK,GTF2I
CLTC,GTF3A
CSNK2A1,BRF1
CHN1,GTF3C1
CPE,GTF3C1
EZH2,GTF3C1
FGFR3,GTF3C1
KLF6,GTF3C1
GTF3A,GTF3C2
GTF3C1,GTF3C2
BTK,BLNK
CBLB,BLNK
CD72,BLNK
BLNK,CD79A
CRKL,BLNK
GRB2,BLNK
ITK,BLNK
BLNK,LAT2
LCP2,BLNK
MAP4K1,BLNK
NCK1,BLNK
PLCG1,BLNK
PLCG2,BLNK
PTPN6,BLNK
SYK,BLNK
VAV1,BLNK
ADAM12,PACSIN3
ADAM15,PACSIN3
ADAM9,PACSIN3
DDEF2,PACSIN3
DNM1,PACSIN3
PACSIN2,PACSIN3
SOS1,PACSIN3
SOS2,PACSIN3
SYNJ1,PACSIN3
WASL,PACSIN3
GRB2,TMOD3
MAP3K3,TMOD3
TPM1,TMOD2
TPM3,TMOD2
DLG1,GUCY1A2
DLG2,GUCY1A2
DLG3,GUCY1A2
DLG4,GUCY1A2
BCL10,CARD10
IKBKG,CARD10
TBP,ABT1
ARHGEF6,PARVB
PARVB,ILK
BCL6,GTPBP9
PRMT5,GTPBP9
UQCR,UCRC
UQCRB,UCRC
UQCRC1,UCRC
UQCRC2,UCRC
UQCRH,UCRC
UQCRQ,UCRC
IGHM,VPREB3
VPREB3,VPREB1
GUCY1B3,GUCY1A2
GUCA2A,GUCY2C
HDAC1,SENP1
SENP1,KCNK1
SENP1,SP3
NOL3,TFPT
RPIP8,TFPT
TCF3,TFPT
TPM3,TFPT
GUCA1B,GUCY2F
ACTB,ANAPC2
UBE2C,ANAPC2
BTG1,CNOT7
CNOT7,BTG2
BTG3,CNOT7
CDC2,CNOT7
CDK2,CNOT7
CDK4,CNOT7
CDK6,CNOT7
SLC2A4,CNOT7
TOB1,CNOT7
TOB2,CNOT7
AK5,STRN4
STRN4,ASNS
BAT1,STRN4
CALM1,STRN4
CAV1,STRN4
STRN4,CLDN12
DFFA,STRN4
GDF9,STRN4
KLHDC2,STRN4
MIF,STRN4
NBEA,STRN4
STRN4,PIK4CA
PPBP,STRN4
SLC25A6,STRN4
WIPI2,STRN4
STRN4,WNT7A
PSMD14,RBM15B
AR,PSMC3IP
ESR2,PSMC3IP
NR3C1,PSMC3IP
PSMC3,PSMC3IP
RXRA,PSMC3IP
THRB,PSMC3IP
BAT2,CPSF1
MCM2,CPSF1
POLR2A,CPSF1
TAF11,CPSF1
TAF12,CPSF1
CPSF1,TAF13
TAF5,CPSF1
TAF7,CPSF1
SLC2A4,MYLPF
FUSIP1,TRA2A
YWHAG,TRA2A
GNAI1,GPSM2
GNAI2,GPSM2
GNAI3,GPSM2
GNAO1,GPSM2
HRAS,GPSM2
NUMA1,GPSM2
CES1,GUSB
ATF4,CCDC106
C14orf1,CCDC106
COPS6,CCDC106
CRMP1,CCDC106
EEF1G,CCDC106
HTATIP,CCDC106
SETDB1,CCDC106
TP53,CCDC106
UTP14A,CCDC106
EEF2,EEF2K
MAPK11,EEF2K
MAPK12,EEF2K
MAPK13,EEF2K
MAPK14,EEF2K
MAPK8,EEF2K
MAPK9,EEF2K
MAPKAPK2,EEF2K
EEF2K,MAPKAPK3
EEF2K,MAPKAPK5
PRKAA1,EEF2K
EEF2K,PRKAA2
PRKACA,EEF2K
RPS6KA1,EEF2K
RPS6KB1,EEF2K
EEF2K,RPS6KB2
EEF2K,TNF
RABAC1,SNX15
ABLIM1,HOOK2
APEX2,HOOK2
EPS8,HOOK2
FAM107A,HOOK2
KIAA0408,HOOK2
MYST2,HOOK2
PSMF1,HOOK2
RALBP1,HOOK2
RIBC2,HOOK2
USP2,HOOK2
UTP14A,HOOK2
ZNF638,HOOK2
ASH2L,HCFC2
GAS7,HCFC2
SLC2A4,C18orf8
CIC,PYCR2
RELA,PYCR2
SLC2A4,PYCR2
FKBP6,NME7
KRT18,NME7
NT5C2,NME7
ZNF263,NME7
AP2A1,EPN1
AP2A2,EPN1
CDC2,EPN1
CLTC,EPN1
CRMP1,EPN1
EPS15,EPN1
REPS2,EPN1
ZBTB16,EPN1
SERP1,SEC61A1
SLC2A4,SEC61A1
TNFRSF1A,SEC61A1
TNFRSF1B,SEC61A1
PDCD6,TIMM22
ESR1,LOH3CR2A
SLC2A4,SNX12
MUTYH,RPA4
RPA1,RPA4
RPA2,RPA4
RPA4,RPA3
XPA,RPA4
ARHGAP26,PKN3
PLD1,PKN3
RPA2,SERTAD3
DNMT3A,DNMT3L
DNMT3B,DNMT3L
HDAC1,DNMT3L
PHPT1,DNMT3L
EPB41,GYPC
PDIA3,GYPC
CCND2,SERTAD1
CDK4,SERTAD1
CDKN2A,SERTAD1
CREBBP,SERTAD1
SLC2A4,DPP7
REG3A,TRHDE
ASGR1,LASS2
ASGR2,LASS2
LASS2,ATP6V0C
LASS2,SLC22A1
MLF1,NRBP1
RAC3,NRBP1
RIBC2,NRBP1
CALM1,STRN3
STRN3,PPAP2A
STRN3,PPP2R2A
ACTN2,LRP12
GNB2L1,LRP12
ITGB1BP3,LRP12
LRP12,MYOT
SNAPAP,LRP12
ZFYVE9,LRP12
HSP90AB1,PSAT1
CSNK2A1,GYS1
GSK3B,GYS1
GYS1,GYG1
NF2,SCHIP1
APOBEC1,ACF
CUGBP2,ACF
KHSRP,ACF
SYNCRIP,ACF
BTRC,UBQLN2
PSMD4,UBQLN2
UBQLN2,RPN1
UBQLN2,STCH
UBQLN2,UBE3A
ADRM1,UBQLN1
UBQLN1,ASCL1
UBQLN1,CD47
CD99,UBQLN1
CHRNA3,UBQLN1
CHRNA4,UBQLN1
CHRNB4,UBQLN1
CSTF2,UBQLN1
UBQLN1,CSTF2T
UBQLN1,CXX1
UBQLN1,DKFZP564B147
FRAP1,UBQLN1
UBQLN1,FZD7
UBQLN1,GABRA3
UBQLN1,GABRD
HES1,UBQLN1
HGS,UBQLN1
UBQLN1,HK2
UBQLN1,HRASLS3
UBQLN1,IGLC1
UBQLN1,NBL1
UBQLN1,P4HB
PSEN1,UBQLN1
PSEN2,UBQLN1
UBQLN1,SERPINI2
SMAD9,UBQLN1
UBQLN1,STCH
TFF1,UBQLN1
UBQLN1,TRIM32
HNF4A,NRBF2
PPARA,NRBF2
RARA,NRBF2
RXRA,NRBF2
THRB,NRBF2
ACVR1,RHOD
BMPR1B,RHOD
DIAPH2,RHOD
HRAS,RHOD
PLXNA1,RHOD
SMAD2,RHOD
SMAD4,RHOD
TGFBR1,RHOD
SLC39A3,GABRR1
SLC39A3,GABRR2
SLC39A3,KCNAB2
PRKCZ,SLC39A3
PRKCZ,SLC39A2
SLC39A3,SLC39A2
BAT5,PILRB
LYN,PILRB
PTPN11,PILRB
PTPN6,PILRB
FCAR,PILRA
PTPN11,PILRA
PTPN6,PILRA
DNM1,PACSIN1
