SCAMP2,SNAP23
SCAMP2,ST3GAL3
EGFR,SCAMP3
SLC2A4,SCAMP3
IL18,IL18BP
CDH6,CDH9
CDH7,CDH9
ENO2,SNUPN
SNUPN,KPNB1
SNUPN,PAFAH1B2
SNUPN,PEX5
SNUPN,RPL17
SNUPN,TNNT3
SNUPN,XPO1
CDKN2A,HUWE1
MCL1,HUWE1
TP53,HUWE1
CTNNB1,PTPRU
PTPRU,GNAO1
KIT,PTPRU
PTPRU,PPFIA3
SPTAN1,TSSC4
TSSC4,UBE1
CDH6,CDH10
CDH9,CDH10
FEZ1,PDCD7
PDCD7,HAP1
MYO7A,USH1C
USH1C,QKI
ATXN1,PQBP1
PQBP1,CLTB
EEF1A1,PQBP1
PQBP1,POLR2A
PQBP1,POU3F2
PQBP1,RAB8A
PQBP1,RCVRN
ITGAV,EDIL3
COL4A3,COL4A3BP
COL4A3BP,CSNK1G2
COL4A3BP,POM121
CDH2,CDH11
GRB2,ARPC5
ARPC5,MAPKAPK2
SLC2A4,ARPC5
ARPC5,ARPC4
GRB2,ARPC4
SLC2A4,ARPC4
ARPC4,WAS
ARPC4,ARPC3
ARPC5,ARPC3
ARPC3,BAT3
ARPC3,CDKN2B
ARPC3,CETP
ARPC3,EFTUD2
GRB2,ARPC3
ARPC3,LGALS4
ARPC3,LTA4H
ARPC3,PRMT1
SLC2A4,ARPC3
WAS,ARPC3
ACTB,ARPC1B
ARPC3,ARPC1B
ARPC4,ARPC1B
ARPC5,ARPC1B
ARPC1B,PAK1
SLC2A4,ARPC1B
WAS,ARPC1B
ARPC1B,WASL
ARPC3,ACTR3
ARPC4,ACTR3
ARPC5,ACTR3
ACTR3,CDC42
ACTR3,CDH1
ACTR3,CTTN
GRB2,ACTR3
SLC2A4,ACTR3
WAS,ACTR3
ACTC1,ACTR2
ACTR3,ACTR2
ARPC1B,ACTR2
ARPC3,ACTR2
ARPC4,ACTR2
ARPC5,ACTR2
GRB2,ACTR2
ACTR2,HCLS1
SLC2A4,ACTR2
WAS,ACTR2
EWSR1,TSPAN3
CDH7,CDH12
SLC25A4,PPIF
VDAC1,PPIF
ACTR2,ARPC2
ACTR3,ARPC2
ARPC1B,ARPC2
ARPC3,ARPC2
ARPC4,ARPC2
ARPC5,ARPC2
GRB2,ARPC2
SLC2A4,ARPC2
PDPK1,SGK2
BRCA1,RAD50
EP300,RAD50
RAD50,MDC1
RAD50,MRE11A
RAD50,NBN
RAB6A,KIF20A
SMAD1,PREB
PREB,TGFBR1
AR,HIPK3
HIPK3,DAXX
HIPK3,FADD
FAS,HIPK3
SUMO1,HIPK3
APAF1,FEM1B
FAS,FEM1B
FEM1B,KIAA0319
ACTA1,ACTR1B
ACTR1B,ACTG1
ACTR1B,CHD3
DCTN1,ACTR1B
DCTN1,ACTR1A
ACTR1A,NUMA1
ACTR1A,SPTBN1
ACTR1A,SPTBN2
KPNA2,ARL4A
DGKZ,RASGRP1
RASGRP1,HRAS
FHL5,DNAL4
DVL2,ZNF263
CNTF,LRPPRC
IKBKG,LRPPRC
LRPPRC,JAK1
LCK,LRPPRC
LRPPRC,NFKBIB
LRPPRC,UXT
YWHAG,FRY
ARVCF,CDH15
CDH7,CDH15
CDH9,CDH15
SLC2A4,PDIA6
EXT1,TRAP1
TRAP1,EXT2
TRAP1,RB1
SLC2A4,TRAP1
TRAP1,SMAD4
TGFBR1,TRAP1
TRAP1,TGFBR2
TRAP1,TLR1
TRAP1,TNFRSF1A
FLII,OPTN
OPTN,GTF3A
OPTN,HD
OPTN,RAB11B
RAB8A,OPTN
ACTG1,BCAP31
BCAP31,APP
BCL2,BCAP31
BCL2L1,BCAP31
BCAP31,CANX
BCAP31,CASP1
BCAP31,CASP3
CASP8,BCAP31
BCAP31,HLA-A
BCAP31,IGHD
BCAP31,MSN
BCAP31,MYH10
BCAP31,PLP2
BCAP31,VAMP1
BCAP31,VAMP3
IGF1R,PBEF1
PBEF1,INSR
TBC1D4,RBM12
GABPB2,YAF2
YAF2,MYCN
YAF2,YY1
PSCD1,ARFRP1
SMAD4,ARFRP1
ERBB2,TOB1
MAPK1,TOB1
TOB1,MARCKS
SETDB1,TOB1
SMAD1,TOB1
SMAD2,TOB1
TOB1,SMAD3
SMAD4,TOB1
TOB1,SMAD5
TOB1,SMAD6
TOB1,SMAD9
CALM3,AKAP9
AKAP9,CLIC1
AKAP9,CSNK1D
AKAP9,CSNK1E
AKAP9,GRIN1
AKAP9,KCNQ1
AKAP9,PCNT
AKAP9,PKN1
AKAP9,PPP1CA
AKAP9,PPP2R1B
AKAP9,PPP2R3A
AKAP9,PRKAR2A
AKAP9,PRKAR2B
AKAP9,PRKCE
AKAP9,TRIP10
AKAP9,TSNAX
G3BP,RASA1
SLC2A4,G3BP
G3BP,USP10
G3BP,VCL
ATXN1,SFRS14
CANX,EBI3
EBI3,GOSR1
EBI3,IL12A
EBI3,IL27RA
EBI3,MDFI
SMAD3,EBI3
ABL1,ABI2
ABI2,ABL2
ABI2,ADAM19
ABI2,KRT15
ABI2,KRT19
NCK2,ABI2
ABI2,PCM1
SLC2A4,ABI2
SNAP23,ABI2
VCL,ABI2
LAG3,CEBPZ
CEBPZ,NFYB
TP53,CEBPZ
CEBPZ,TP73
APC,TRIM28
TRIM28,CEBPB
CHAF1A,TRIM28
CHD3,TRIM28
TRIM28,ESR1
IKBKG,TRIM28
TRIM28,NR3C1
TRIM28,SERTAD2
SETDB1,TRIM28
TRIM28,SPG7
TRIM28,TRIM24
VIM,TRIM28
TRIM28,ZNF10
TRIM28,ZNF354A
TRIM28,ZNF74
ERBB3,RASA4
RASA4,OVGP1
PDZK1,PDZK1IP1
REN,ATP6AP2
CDH12,CDH18
CDH6,CDH18
CDH9,CDH18
ABI1,WASF2
ACTB,WASF2
ACTR2,WASF2
ACTR3,WASF2
ARPC3,WASF2
WASF2,BTK
CDC42,WASF2
WASF2,DOCK1
FYN,WASF2
GRB2,WASF2
WASF2,PSTPIP1
CD34,CHST4
CDK4,ZNF197
ZNF197,CDK6
TRIM28,ZNF197
ZNF197,VHL
CHD3,SERF2
SERF2,GC
MDFI,SERF2
QKI,SERF2
BCL2,CDK2
BRCA1,CDK2
CDK2,CCNA2
CDK2,CCND1
CDK2,CCNE1
CDK2,CCNH
CDK2,CDC25A
CDK2,CDC6
CDK2,MS4A3
CBLB,SORBS3
SORBS3,DLG5
DVL2,SORBS3
SORBS3,HNRPK
SORBS3,KIAA0408
MAPK1,SORBS3
SORBS3,MAPK3
SORBS3,SAFB2
SORBS3,ZBED1
SORBS3,ZBTB25
HNRPK,RBM7
RBM7,SFRS3
CCNA2,CDK3
CCNC,CDK3
CCNE1,CDK3
DHX38,RBM5
RBM5,DHX9
RBM5,FUS
RBM5,HNRPA1
RBM5,HNRPA2B1
RBM5,HNRPC
RBM5,HNRPD
RBM5,HNRPF
HNRPH1,RBM5
RBM5,HNRPH2
HNRPK,RBM5
RBM5,HNRPL
HNRPM,RBM5
HNRPU,RBM5
RBM5,NFX1
RBM5,PCBP1
RBM5,PCBP2
RBM5,PTBP1
RBM5,SFRS1
RBM5,SFRS11
RBM5,SFRS2
SFRS3,RBM5
RBM5,SFRS4
RBM5,SFRS5
RBM5,SFRS6
RBM5,SFRS7
RBM5,SFRS9
RBM5,SMC1A
RBM5,U2AF1
RBM5,YBX1
ARSE,TNK2
CDC42,TNK2
CLTC,TNK2
TNK2,CSPG4
EGFR,TNK2
FYN,TNK2
GRB2,TNK2
TNK2,MCF2
NCK1,TNK2
TNK2,RASGRF1
TNK2,RPL18A
SFRS5,TNK2
BAT1,THOC4
THOC4,DDX48
DHX38,THOC4
DHX9,THOC4
FUS,THOC4
HNRPA1,THOC4
HNRPA2B1,THOC4
HNRPC,THOC4
HNRPD,THOC4
HNRPF,THOC4
HNRPH1,THOC4
HNRPH2,THOC4
HNRPK,THOC4
HNRPL,THOC4
HNRPM,THOC4
HNRPU,THOC4
THOC4,MAGOH
NFX1,THOC4
RBM5,THOC4
SFRS1,THOC4
SFRS11,THOC4
SFRS2,THOC4
SFRS3,THOC4
SFRS4,THOC4
SFRS5,THOC4
SFRS6,THOC4
SFRS7,THOC4
SFRS9,THOC4
THOC4,SLBP
SMC1A,THOC4
THOC4,THOC1
U2AF1,THOC4
YBX1,THOC4
CDK4,BIRC5
CDK4,BMPR1B
BRCA1,CDK4
CDK4,CAPNS1
CDK4,CCND1
CDK4,CCND2
CDK4,CCND3
CHD3,TXNDC9
FEZ1,TXNDC9
TXNDC9,IKBKAP
TXNDC9,PTN
SETDB1,TXNDC9
ERBB3,RNF41
RNF41,ERBB4
USP8,RNF41
PABPN1,PRMT3
ATN1,PSME3
PSME3,ATP5B
PSME3,BBS2
CASP3,PSME3
PSME3,CASP7
PSME3,COIL
PSME3,FXR2
HSPA5,PSME3
PSME3,ITPKB
PSME3,NCOA3
PSME3,NFKBIE
PSME3,PSMA1
PSME3,PSMA2
PSME3,PSMA3
PSME3,PSMA4
PSME3,PSMA5
PSME3,PSMA6
PSME3,PSMA7
PSME3,PSMB1
PSME3,PSMB10
PSME3,PSMB2
PSME3,PSMB3
PSME3,PSMB4
PSME3,PSMB5
PSME3,PSMB6
PSME3,PSMB7
PSME3,PSMB8
PSME3,PSMB9
PSME3,PSMC1
PSME3,PSMC2
PSME3,PSMC3
PSME3,PSMC4
PSME3,PSMC6
PSME3,PSMD1
PSME3,PSMD10
PSME3,PSMD11
PSME3,PSMD12
PSME3,PSMD13
PSME3,PSMD2
PSME3,PSMD3
PSME3,PSMD4
PSME3,PSMD5
PSME3,PSMD6
PSME3,PSMD7
PSME3,PSMD8
PSME3,PSMD9
PSME3,PSME1
PSME3,PSME2
PSME3,PSMF1
SERF2,PSME3
ABL1,CDK5
CDK5,ACTN1
CDK5,AMPH
APP,CDK5
CCND2,CDK5
CDK5,CCNG1
APLP1,MPHOSPH6
DNM2,MPHOSPH6
MPHOSPH6,EIF3S4
MPHOSPH6,EXOSC10
MPHOSPH6,FTL
MPHOSPH6,GDF9
MPHOSPH6,MT2P1
MPHOSPH6,PARN
MPHOSPH6,RPS20
MPHOSPH6,SMARCA4
MPHOSPH6,THOP1
MPHOSPH6,TLE1
TP53,MPHOSPH6
UNC119,MPHOSPH6
LCK,DHRS2
DHRS2,RPS3A
ADM,CALCRL
CALCRL,CALCA
NUTF2,PTMA
RAN,NUTF2
ACCN3,INADL
INADL,CLDN1
INADL,CRIPT
INADL,DDX18
INADL,GRIN2A
INADL,GRIN2B
INADL,GRIN2C
INADL,GRIN2D
INADL,KCNA4
INADL,KCNJ10
INADL,KCNJ15
INADL,KCNJ2
INADL,MAPK12
INADL,NRXN2
INADL,PAX6
INADL,SCN4A
INADL,SCN5A
AR,CDK6
CDK6,CCND1
CDK6,CCND2
CDK6,CCND3
SUMO1,TOPORS
TOPORS,TOP1
TP53,TOPORS
UBE2I,TOPORS
APP,FLOT1
FLOT1,CAV1
FLOT1,CBL
FYN,FLOT1
FLOT1,SHBG
SLC2A4,FLOT1
FLOT1,SORBS2
BAT1,DDX39
BRCA1,DDX39
DDX39,CCL14
DDX39,EXOSC9
THOC4,DDX39
PSMA1,PSMD14
PSMA2,PSMD14
PSMA3,PSMD14
PSMA4,PSMD14
PSMA5,PSMD14
PSMA6,PSMD14
PSMA7,PSMD14
PSMB1,PSMD14
PSMB10,PSMD14
PSMB2,PSMD14
PSMB3,PSMD14
PSMB4,PSMD14
PSMB5,PSMD14
PSMB6,PSMD14
PSMB7,PSMD14
PSMB8,PSMD14
PSMB9,PSMD14
PSMC1,PSMD14
PSMC2,PSMD14
PSMC3,PSMD14
PSMC4,PSMD14
PSMC6,PSMD14
PSMD1,PSMD14
PSMD10,PSMD14
PSMD11,PSMD14
PSMD12,PSMD14
PSMD13,PSMD14
PSMD2,PSMD14
PSMD3,PSMD14
PSMD4,PSMD14
PSMD5,PSMD14
PSMD6,PSMD14
PSMD7,PSMD14
PSMD8,PSMD14
PSMD9,PSMD14
PSME1,PSMD14
PSME2,PSMD14
PSME3,PSMD14
PSMF1,PSMD14
EP300,OLIG2
OLIG2,NKX2-2
OLIG2,SOX10
CDK9,CTDSPL
AR,CDK7
BRCA1,CDK7
CCNH,CDK7
CDK7,CDC2
CDK2,CDK7
CDK6,CDK7
ACVR2B,GDF11
ALOX12,TRIB1
TRIB1,MAP2K1
TRIB1,MAP2K4
TRIB1,MAP2K7
BCL6,ZNF443
IGF2R,M6PRBP1
M6PRBP1,M6PR
M6PRBP1,RAB9
M6PRBP1,TBPL1
EEA1,STX6
STX6,PTPN9
SLC2A4,STX6
SNAP23,STX6
STX6,SNAP29
STX6,STX16
STX6,STX7
STX6,VAMP4
PPP3CA,DSCR1L1
CD28,LRRC23
KRAS,RASGRP2
RASGRP2,NRAS
RASGRP2,RAP1A
BMPR2,HNRPR
DHX38,HNRPR
DHX9,HNRPR
HNRPR,FARSLA
FUS,HNRPR
HNRPA1,HNRPR
HNRPA2B1,HNRPR
HNRPC,HNRPR
HNRPD,HNRPR
HNRPF,HNRPR
HNRPH1,HNRPR
HNRPH2,HNRPR
HNRPK,HNRPR
HNRPL,HNRPR
HNRPM,HNRPR
HNRPU,HNRPR
NFX1,HNRPR
PCBP1,HNRPR
PCBP2,HNRPR
PRMT1,HNRPR
PTBP1,HNRPR
RBM5,HNRPR
HNRPR,RPL26
SFRS1,HNRPR
SFRS11,HNRPR
SFRS2,HNRPR
SFRS3,HNRPR
SFRS4,HNRPR
SFRS5,HNRPR
SFRS6,HNRPR
SFRS7,HNRPR
SFRS9,HNRPR
SMC1A,HNRPR
HNRPR,SMN1
THOC4,HNRPR
TOP1,HNRPR
U2AF1,HNRPR
YBX1,HNRPR
BMPR1B,WDR68
DYRK1B,WDR68
WDR68,MAP3K1
SLC2A4,WDR68
YWHAG,WDR68
AP3B1,AP3S2
AP3S2,AP3D1
AP3S2,AP3S1
AP3S2,SLC30A3
CCNC,CDK8
CDK8,CCNH
ABLIM1,CALCOCO2
DAXX,CALCOCO2
CALCOCO2,DAZAP2
FXR2,CALCOCO2
CALCOCO2,LGALS8
PSMA1,CALCOCO2
PTBP1,CALCOCO2
CALCOCO2,SHC1
CALCOCO2,SMARCD1
CALCOCO2,SRI
TCL1A,CALCOCO2
TRAF2,CALCOCO2
CALCOCO2,VPS72
CALCOCO2,ZNF205
DYNLL1,GPHN
GPHN,FRAP1
GPHN,GARS
GPHN,GLRB
GPHN,PFN1
TUBA1,GPHN
C19orf2,RABEPK
RAB9,RABEPK
HSPB1,POP7
POP7,RMRP
SMN1,POP7
PTN,GLYAT
AR,CDK9
CDK9,CCNT1
CDK9,CCNT2
CDK9,CDC34
CDK9,SERPINH1
DEK,SRRM1
DHX38,SRRM1
DHX9,SRRM1
FUS,SRRM1
HNRPA1,SRRM1
HNRPA2B1,SRRM1
HNRPC,SRRM1
HNRPD,SRRM1
HNRPF,SRRM1
HNRPH1,SRRM1
HNRPH2,SRRM1
HNRPK,SRRM1
HNRPL,SRRM1
HNRPM,SRRM1
HNRPR,SRRM1
HNRPU,SRRM1
NFX1,SRRM1
RBM5,SRRM1
SRRM1,RBM8A
SFRS1,SRRM1
SFRS11,SRRM1
SFRS2,SRRM1
SFRS3,SRRM1
SFRS4,SRRM1
SFRS5,SRRM1
SFRS6,SRRM1
SFRS7,SRRM1
SFRS9,SRRM1
SMC1A,SRRM1
SRRM1,SRPK1
THOC4,SRRM1
U2AF1,SRRM1
YBX1,SRRM1
YWHAG,SRRM1
GRB2,SPRY1
CBL,SPRY2
CBLB,SPRY2
SPRY2,GPRIN2
GRB2,SPRY2
SPRY2,PLSCR1
SPRY2,PTPN11
SPRY2,RAF1
TRAF2,SPRY2
DAZAP2,STAM2
EGFR,STAM2
STAM2,EPS15
HGS,STAM2
JAK1,STAM2
